,Language_id,LanguageWorkedWith
0,0,JavaScript
1,1,Python
2,2,HTML
3,3,CSS
4,4,Bash/Shell
5,5,
6,6,C#
7,7,SQL
8,8,TypeScript
9,9,C
10,10,C++
11,11,Java
12,12,Matlab
13,13,R
14,14,Assembly
15,15,CoffeeScript
16,16,Erlang
17,17,Go
18,18,Lua
19,19,Ruby
20,20,PHP
21,21,VB.NET
22,22,Swift
23,23,Groovy
24,24,Kotlin
25,25,Objective-C
26,26,Scala
27,27,F#
28,28,Haskell
29,29,Rust
30,30,Julia
31,31,VBA
32,32,Perl
33,33,Cobol
34,34,Visual Basic 6
35,35,Delphi/Object Pascal
36,36,Hack
37,37,Clojure
38,38,Ocaml
